음절   출현횟수   백분율   누적백분율
=====================================
이     997684     3.1940     3.1940
다     768317     2.4597     5.6537
의     760722     2.4354     8.0892
는     676515     2.1658    10.2550
에     627333     2.0084    12.2633
을     546243     1.7488    14.0121
하     522169     1.6717    15.6838
한     470453     1.5061    17.1899
고     457229     1.4638    18.6537
가     444780     1.4239    20.0777
로     425251     1.3614    21.4391
기     422263     1.3518    22.7909
지     394335     1.2624    24.0534
사     338369     1.0833    25.1366
서     337438     1.0803    26.2169
은     311376     0.9969    27.2138
도     308955     0.9891    28.2029
를     300365     0.9616    29.1645
대     298147     0.9545    30.1190
정     273460     0.8755    30.9944
리     255872     0.8192    31.8136
자     255148     0.8168    32.6304
수     254804     0.8157    33.4462
시     253080     0.8102    34.2564
으     246428     0.7889    35.0453
있     245164     0.7849    35.8302
어     240951     0.7714    36.6016
구     229632     0.7352    37.3367
인     228483     0.7315    38.0682
나     228153     0.7304    38.7986
제     223980     0.7171    39.5157
국     212724     0.6810    40.1967
과     209470     0.6706    40.8673
그     208329     0.6670    41.5343
해     205921     0.6592    42.1935
전     199889     0.6399    42.8335
부     188768     0.6043    43.4378
것     182105     0.5830    44.0208
일     181719     0.5818    44.6025
적     180659     0.5784    45.1809
아     180612     0.5782    45.7591
연     178965     0.5729    46.3321
라     177564     0.5685    46.9005
성     177476     0.5682    47.4687
들     167937     0.5376    48.0064
상     163622     0.5238    48.5302
원     161526     0.5171    49.0473
여     160205     0.5129    49.5602
보     159703     0.5113    50.0715
장     148406     0.4751    50.5466
화     144438     0.4624    51.0090
주     141423     0.4528    51.4618
소     133720     0.4281    51.8898
동     132904     0.4255    52.3153
공     130387     0.4174    52.7328
조     128791     0.4123    53.1451
스     128014     0.4098    53.5549
경     126218     0.4041    53.9590
계     125841     0.4029    54.3619
용     121744     0.3898    54.7516
위     121570     0.3892    55.1408
우     121302     0.3883    55.5292
게     120591     0.3861    55.9152
학     120517     0.3858    56.3010
만     118495     0.3794    56.6804
개     115269     0.3690    57.0494
면     112714     0.3608    57.4103
되     112203     0.3592    57.7695
관     110937     0.3552    58.1246
문     110569     0.3540    58.4786
유     109371     0.3501    58.8288
선     105730     0.3385    59.1673
중     103639     0.3318    59.4991
산     101919     0.3263    59.8253
치     100947     0.3232    60.1485
신     100765     0.3226    60.4711
회     100130     0.3206    60.7917
발     100101     0.3205    61.1121
비      98382     0.3150    61.4271
분      96897     0.3102    61.7373
생      93600     0.2997    62.0370
내      92957     0.2976    62.3346
방      92209     0.2952    62.6298
무      91601     0.2933    62.9230
와      90523     0.2898    63.2128
세      90453     0.2896    63.5024
니      87535     0.2802    63.7826
물      87321     0.2796    64.0622
등      86674     0.2775    64.3397
할      85680     0.2743    64.6140
실      84453     0.2704    64.8843
통      83984     0.2689    65.1532
었      82308     0.2635    65.4167
미      82301     0.2635    65.6802
모      81838     0.2620    65.9422
러      81439     0.2607    66.2029
업      81327     0.2604    66.4633
교      80246     0.2569    66.7202
체      80048     0.2563    66.9765
진      76522     0.2450    67.2214
재      75723     0.2424    67.4639
안      75312     0.2411    67.7050
야      74076     0.2371    67.9421
명      71530     0.2290    68.1711
민      71043     0.2274    68.3986
간      70882     0.2269    68.6255
며      70546     0.2258    68.8513
단      70500     0.2257    69.0770
당      69539     0.2226    69.2997
요      69066     0.2211    69.5208
년      68272     0.2186    69.7393
거      68141     0.2181    69.9575
마      68079     0.2180    70.1754
금      66513     0.2129    70.3884
된      66196     0.2119    70.6003
오      66060     0.2115    70.8118
본      64807     0.2075    71.0193
했      64453     0.2063    71.2256
법      64451     0.2063    71.4319
합      63959     0.2048    71.6367
식      63810     0.2043    71.8410
없      63710     0.2040    72.0449
각      62763     0.2009    72.2459
였      62618     0.2005    72.4463
결      60853     0.1948    72.6412
영      60754     0.1945    72.8357
행      60686     0.1943    73.0299
때      60500     0.1937    73.2236
데      60466     0.1936    73.4172
력      60342     0.1932    73.6104
반      60054     0.1923    73.8027
설      58711     0.1880    73.9906
터      58676     0.1878    74.1785
려      57929     0.1855    74.3639
속      57361     0.1836    74.5476
운      56311     0.1803    74.7278
양      54808     0.1755    74.9033
현      54765     0.1753    75.0786
차      54638     0.1749    75.2535
종      54433     0.1743    75.4278
말      52668     0.1686    75.5964
형      52341     0.1676    75.7640
음      52135     0.1669    75.9309
술      51850     0.1660    76.0969
석      50456     0.1615    76.2584
바      50049     0.1602    76.4186
입      49938     0.1599    76.5785
역      49241     0.1576    76.7362
임      48799     0.1562    76.8924
않      48663     0.1558    77.0482
작      48405     0.1550    77.2031
히      47948     0.1535    77.3567
및      47192     0.1511    77.5077
건      46182     0.1478    77.6556
질      45465     0.1456    77.8011
표      45095     0.1444    77.9455
외      44467     0.1424    78.0879
강      43832     0.1403    78.2282
두      43777     0.1401    78.3683
까      43252     0.1385    78.5068
백      42953     0.1375    78.6443
권      42707     0.1367    78.7810
트      42309     0.1354    78.9165
르      41865     0.1340    79.0505
직      41744     0.1336    79.1842
불      41579     0.1331    79.3173
호      41396     0.1325    79.4498
심      41348     0.1324    79.5822
따      41001     0.1313    79.7134
처      40970     0.1312    79.8446
타      40966     0.1312    79.9758
태      40770     0.1305    80.1063
출      40058     0.1282    80.2345
파      39471     0.1264    80.3609
천      39186     0.1255    80.4863
남      38751     0.1241    80.6104
람      38662     0.1238    80.7342
던      38524     0.1233    80.8575
점      38343     0.1228    80.9803
감      37840     0.1211    81.1014
저      37483     0.1200    81.2214
난      37262     0.1193    81.3407
후      36817     0.1179    81.4586
포      36505     0.1169    81.5754
또      36418     0.1166    81.6920
특      36356     0.1164    81.8084
최      35863     0.1148    81.9232
크      35717     0.1143    82.0376
달      35702     0.1143    82.1519
예      35605     0.1140    82.2658
같      35561     0.1138    82.3797
능      35430     0.1134    82.4931
변      34716     0.1111    82.6043
북      34607     0.1108    82.7151
드      34506     0.1105    82.8255
프      34481     0.1104    82.9359
래      34423     0.1102    83.0461
책      34101     0.1092    83.1553
김      33988     0.1088    83.2641
노      33637     0.1077    83.3718
함      33578     0.1075    83.4793
박      33302     0.1066    83.5859
배      33251     0.1065    83.6923
추      32564     0.1043    83.7966
환      32362     0.1036    83.9002
열      31884     0.1021    84.0023
평      31562     0.1010    84.1033
증      31511     0.1009    84.2042
매      31206     0.0999    84.3041
울      31177     0.0998    84.4039
품      31172     0.0998    84.5037
약      31141     0.0997    84.6034
집      31018     0.0993    84.7027
군      30876     0.0988    84.8016
향      30772     0.0985    84.9001
근      30461     0.0975    84.9976
알      30423     0.0974    85.0950
초      30323     0.0971    85.1921
온      30303     0.0970    85.2891
급      30243     0.0968    85.3859
목      30168     0.0966    85.4825
더      30047     0.0962    85.5787
료      29995     0.0960    85.6747
른      29949     0.0959    85.7706
론      29074     0.0931    85.8637
확      28515     0.0913    85.9550
준      28449     0.0911    86.0460
토      27900     0.0893    86.1354
록      27838     0.0891    86.2245
활      27752     0.0888    86.3133
련      27574     0.0883    86.4016
격      27541     0.0882    86.4898
월      27352     0.0876    86.5773
광      27140     0.0869    86.6642
판      26695     0.0855    86.7497
키      26520     0.0849    86.8346
청      26462     0.0847    86.9193
습      26372     0.0844    87.0037
험      25834     0.0827    87.0864
번      25687     0.0822    87.1687
절      25378     0.0812    87.2499
류      25205     0.0807    87.3306
규      24777     0.0793    87.4099
루      24605     0.0788    87.4887
복      24386     0.0781    87.5668
량      24384     0.0781    87.6448
많      24098     0.0771    87.7220
피      24041     0.0770    87.7990
새      24014     0.0769    87.8758
레      23919     0.0766    87.9524
응      23810     0.0762    88.0286
